"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-10-16,3483.81005859375,23410.630859375,5919.60009765625,4935.85986328125,12908.990234375,3336.35791015625,39982.98046875,24386.7890625,12750.3701171875,2799.5400390625
2020-10-19,3426.919921875,23671.130859375,5884.7001953125,4942.6201171875,12854.66015625,3312.669921875,40431.6015625,24542.259765625,12908.33984375,2794.27001953125
2020-10-20,3443.1201171875,23567.0390625,5889.2001953125,4929.27978515625,12736.9501953125,3328.10009765625,40544.37109375,24569.5390625,12862.3701171875,2803.06005859375
2020-10-21,3435.56005859375,23639.4609375,5776.5,4853.9501953125,12557.6396484375,3325.02001953125,40707.30859375,24754.419921875,12877.25,2786.22998046875
2020-10-22,3453.48999023438,23474.26953125,5785.7001953125,4851.3798828125,12543.0595703125,3312.5,40558.48828125,24786.130859375,12917.0302734375,2803.169921875
2020-10-23,3465.38989257812,23516.58984375,5860.2998046875,4909.64013671875,12645.75,3277.9970703125,40685.5,24918.779296875,12898.8203125,2816.69995117188
2020-10-26,3400.96997070312,23494.33984375,5792,4816.1201171875,12177.1796875,3251.11889648438,40145.5,24852.984375,12909.0302734375,2785.59008789062
2020-10-27,3390.67993164062,23485.80078125,5729,4730.66015625,12063.5703125,3254.31591796875,40522.1015625,24787.189453125,12875.009765625,2763.03002929688
2020-10-28,3271.03002929688,23418.509765625,5582.7998046875,4571.1201171875,11560.509765625,3269.23999023438,39922.4609375,24708.80078125,12793.75,2693.4599609375
2020-10-29,3310.11010742188,23331.939453125,5581.7998046875,4569.669921875,11598.0703125,3272.72998046875,39749.8515625,24586.599609375,12662.91015625,2709.0400390625
2020-10-30,3269.9599609375,22977.130859375,5577.2998046875,4594.240234375,11556.48046875,3224.53295898438,39614.0703125,24107.419921875,12546.33984375,2690.59008789062
2020-11-02,3310.23999023438,23295.48046875,5655,4691.14013671875,11788.2802734375,3225.1201171875,39757.578125,24460.009765625,12591.3095703125,2737.5400390625
2020-11-03,3369.15991210938,23495.35546875,5786.7998046875,4805.60986328125,12088.98046875,3271.07397460938,40261.12890625,24939.73046875,12736.009765625,2786.419921875
2020-11-04,3443.43994140625,23695.23046875,5883.2998046875,4922.85009765625,12324.2197265625,3277.43994140625,40616.140625,24886.140625,12867.900390625,2823.90490722656
2020-11-05,3510.44995117188,24105.279296875,5906.2001953125,4983.990234375,12568.08984375,3320.13305664062,41340.16015625,25695.919921875,12918.7998046875,2861.38989257812
2020-11-06,3509.43994140625,24325.23046875,5910,4960.8798828125,12480.01953125,3312.15893554688,41893.05859375,25712.970703125,12973.5302734375,2895.6201171875
2020-11-09,3550.5,24839.83984375,6186.2998046875,5336.31982421875,13095.9697265625,3373.72998046875,42597.4296875,26016.169921875,13127.4697265625,2987.75
2020-11-10,3545.53002929688,24905.58984375,6296.89990234375,5418.97021484375,13163.1103515625,3360.14892578125,43277.6484375,26301.48046875,13081.7197265625,2998.61010742188
2020-11-11,3572.65991210938,25349.599609375,6382.10009765625,5445.2099609375,13216.1796875,3342.20288085938,43593.671875,26226.98046875,13262.1904296875,3015.03002929688
2020-11-12,3537.01000976562,25520.880859375,6338.89990234375,5362.56982421875,13052.9501953125,3338.67993164062,43357.19140625,26169.380859375,13221.7802734375,3025.830078125
2020-11-13,3585.14990234375,25385.869140625,6316.39990234375,5380.16015625,13076.7197265625,3310.10498046875,43443,26156.859375,13273.330078125,3025.21997070312
2020-11-14,3606.02990722656,25646.3994140625,6368.84985351562,5425.82006835938,13107.6650390625,3328.53698730469,43612.9036458333,26269.2646484375,13412.580078125,3052.47998046875
2020-11-16,3626.90991210938,25906.9296875,6421.2998046875,5471.47998046875,13138.6103515625,3346.96899414062,43782.8072916667,26381.669921875,13551.830078125,3079.73999023438
2020-11-17,3609.53002929688,26014.619140625,6365.2998046875,5483,13133.4697265625,3339.89990234375,43952.7109375,26415.08984375,13593.009765625,3052.21997070312
2020-11-18,3567.7900390625,25728.140625,6385.2001953125,5511.4501953125,13201.8896484375,3347.30297851562,44180.05078125,26544.2890625,13773.2900390625,3080.67993164062
2020-11-19,3581.8701171875,25634.33984375,6334.39990234375,5474.66015625,13086.16015625,3363.087890625,43599.9609375,26356.970703125,13722.4296875,3046.48999023438
2020-11-20,3557.5400390625,25527.369140625,6351.5,5495.89013671875,13137.25,3377.72998046875,43882.25,26451.5390625,13716.4404296875,3051.0400390625
